"ID";"RestaurantID";"FileName";"PictureIntro"
153;56;"83bd1019-000a-4d6b-82be-993e07d22aa6.jpg";""
154;57;"3ba12114-d2d2-4196-bd7e-b72cad10d8e9.jpg";""
155;57;"e7283821-666f-482d-a8ae-8518146b7d50.jpg";""
156;58;"1cf4ba04-a961-4d01-899f-5a1aa38cd560.jpg";""
157;58;"c3d9b8c1-fe56-4411-a53f-5485604a460e.jpg";""
158;59;"b6e3d098-7eb0-4fc0-b54e-d7e37ac7c8f1.jpg";"享味全日制餐厅"
159;60;"3c1019c4-6c48-4393-9b04-351c41c35d2a.jpg";"悦轩中餐厅"
160;61;"4aefa1b4-b96c-4064-b2bc-565cac2897df.jpg";"大堂吧"
161;62;"70e0cb7f-0b9a-462b-8e08-296b0e254c6a.jpg";"“丰园”中餐厅"
162;63;"54aa6fff-5d44-498d-b3f2-3e51eee96ed2.jpg";"“冰源”餐厅"
163;64;"ea11cb6c-41fd-4194-af03-092a24443204.jpg";"“霖轩”大堂吧"
164;65;"8211a79e-2105-45b1-bee0-182dd34ca53c.jpg";"海趣缘沙滩吧"
165;66;"04e43245-9c44-4f1f-a509-08600b3c81f6.jpg";"“锦湾”酒吧"
166;67;"68261e4a-a539-4e5b-920f-3cbb1ada8549.jpg";"啦啦吧"
167;68;"f30a6d7e-aac7-4da0-8a1f-eb00e500cd8c.jpg";"海棠轩中餐厅"
168;69;"91164721-9ad2-4d99-8e7f-6b1b37e21c3f.jpg";"怡园 - 全天侯餐厅"
169;70;"fc0cdc63-9a8e-4e36-a0c8-e1e5768ce011.jpg";"望海阁"
170;71;"dbc66779-45c9-4d3d-a004-53e0166390e7.jpg";"“沁”特色餐厅"
171;72;"e0ce9f6e-8309-4c06-afa6-586ce457172e.jpg";"OPEN全日餐厅"
172;72;"3f22c749-52ff-45b5-8cc5-e2f9a99e18c9.jpg";"BBQ自助烧烤晚餐"
173;73;"6348ea07-daf7-4d02-ab71-a6dae51665fb.jpg";"御玺中餐厅"
174;73;"922d41bb-98f3-4841-9cc4-f3d5a243e796.jpg";"御玺中餐厅桫椤包厢"
175;73;"99a78461-6aa6-4712-a9ce-2c62b7969912.jpg";""
176;74;"7232f66b-cccc-49e7-beb4-dc1782783323.jpg";"面道"
177;75;"4134fd97-2f63-461d-bbc2-984c836cf0a5.jpg";""
178;76;"c8e09d50-ec40-45de-867d-16eb971ad870.jpg";""
179;77;"544db533-9434-4c04-a77f-b07b2e2b3c1f.jpg";""
180;78;"28e584ae-ec50-420e-b743-1a5632601748.jpg";"T酒廊"
181;79;"884a9e38-823c-4a41-93b8-501463022e47.jpg";""
182;80;"c97c4ac7-c995-49bf-8573-42281bdd7a83.jpg";"&quot;源氏&quot;日餐厅"
183;81;"4da5bc5a-1134-4d12-8695-ea939cc51578.jpg";"地阔全日制餐厅"
184;82;"1412e969-84d3-4cdf-a748-05600dbcb0c7.jpg";"地阔酒吧"
185;83;"24947d5c-476e-4869-8d1f-3fc13b3a05b7.jpg";"东北街"
186;84;"e64aa2c3-0009-40f9-8942-7a9363f2420d.jpg";""
187;85;"884a588d-121e-42cb-be6f-faf63b0ce3c0.jpg";"鲜 餐厅"
188;86;"39671579-00c9-4791-8daa-a9148348f4bd.jpg";"感趣自助餐厅"
189;87;"b5a045e9-b3cf-412d-80b4-2f4b306c62c0.jpg";"酌宴府中餐厅"
190;88;"707d49aa-eeaa-4ef9-8fc1-ddf047664494.jpg";"炫逸吧"
191;89;"4b67c5c2-37bd-4f07-ad9b-827470c5c777.jpg";"酝聚酒廊"
192;90;"6ac98d87-81bb-4de4-a294-40954ffe19f1.jpg";""
193;91;"a23e2ecd-8e1e-4d28-a248-849c4bfc9398.jpg";""
194;92;"066bf001-c123-4115-9f63-da59b98fea77.jpg";""
195;93;"6c3299ad-653c-47b0-b848-e8673cdbd57f.jpg";""
196;94;"fcb767e5-1109-47a9-8eb6-3fafc643ae24.jpg";""
197;95;"46b42f61-068a-4f45-a3fb-08207a553cd0.jpg";""
198;96;"85f3d873-94d0-407f-952c-6febb4bb4f7f.jpg";"全日制餐厅"
199;97;"644b7d05-7f83-4314-98c5-59a627abbc6a.jpg";"东园阁中餐厅"
200;98;"7efb196c-e51e-4783-9b24-f9ea1ed4e7cd.jpg";"大堂茶廊"
201;99;"0b55844a-2ac0-4c59-8345-343ce00e8934.jpg";"布里斯吧"
202;100;"bca7daaf-e576-44ae-b1bf-44434f7acabf.jpg";"甜速站"
203;101;"9ef0d841-226e-4716-8965-43682bde7ee7.jpg";""
204;101;"b0990027-af92-42ea-b6b8-410d47fdcf9f.jpg";""
205;102;"92b199ad-c168-4ec3-8aa0-212a4c56c289.jpg";""
206;103;"93efd513-a72c-4f3c-9d4a-c7a7c87755e4.jpg";""
207;103;"704c6413-ae22-42c4-bf21-8abd1279f0e8.jpg";""
208;104;"c8e88c4b-a57f-4444-b71c-b033f3db8c44.jpg";""
209;105;"fcd5e0dd-211c-4a24-8ca4-27cbd2dbafb9.jpg";""
210;106;"f3f323bb-7fa7-45ee-ae37-6ec1672e2072.jpg";""
211;107;"27b5d833-0d93-409a-929f-1407aee4e364.jpg";""
212;108;"9ae595bb-33fc-4478-af4e-003f05e92f57.jpg";""
213;109;"5406e006-2530-4576-9acb-daf0c3072625.jpg";"咖啡厅"
214;109;"bcc3070a-68f8-45d5-ad6f-76b090a2220f.jpg";""
215;109;"a9d607d6-e4b1-4952-b058-34842b2cd236.jpg";""
216;110;"82239214-4cdf-416c-a3a4-0dec162cfb63.jpg";"随园中餐厅"
217;110;"a8ca99b2-ecac-418a-a907-98440862b2ea.jpg";""
218;111;"944abe3b-e57e-405f-bafa-8e301090ef6c.jpg";"小雅扒房"
219;112;"5afe1528-9b4c-4a76-abcc-aefefc741c6d.jpg";""
220;113;"e2e15ba8-c684-4e34-b2ab-b0f54d039b77.jpg";"禅餐厅"
221;114;"622c46cf-498d-480d-94d3-a5720ed0413a.jpg";"凤还巢中餐厅"
222;115;"68cc1a41-1c1b-4479-82a2-2bb992aa9d2d.jpg";"莺蝶舸大堂吧"
223;116;"69ef8f26-71ca-451e-9842-71980dcd23ed.jpg";"咖啡基诺"
224;117;"8ba85b97-90a6-4b0c-ab23-74cbc216ad5b.jpg";"SOHO酒吧"
225;118;"53574de8-7d49-424a-a211-0b894a6abcc4.jpg";"鲜·咖啡"
226;119;"834e6bf9-dbc5-42c2-b1ef-34b50014ed50.jpg";"长乐宫"
227;119;"1640cc34-0318-4498-b20b-02c7cb585a8b.jpg";"长乐宫"
228;120;"23f0756a-1ea2-45dd-8ae5-5795aae7dbc5.jpg";"大堂酒廊"
229;121;"56f3b21c-a139-4089-9a1d-14ebb02cac40.jpg";""
230;122;"a51f020a-70b8-463b-9555-229457ce782e.jpg";""
231;123;"c10ddae1-20c8-4c16-aeb0-81a7680027a8.jpg";""
